id,geometry_type,geometry_coordinates,from,to,startTime,endTime,category,roadNumbers,length,delay
5119a11d8082705a66d69060df3f7fea,LineString,"((-73.9862949247, 40.6992575893), (-73.9861889775, 40.6989370585), (-73.9861715431, 40.6988860937), (-73.9861675198, 40.6988297909), (-73.9861795898, 40.698774759), (-73.9862064118, 40.6987224596), (-73.986246645, 40.6986755616), (-73.9862949247, 40.6986366707), (-73.9863525922, 40.6986085192), (-73.9864317174, 40.6985883746), (-73.9864853616, 40.6985830366), (-73.9865725334, 40.6985843711), (-73.9866516585, 40.6985950471), (-73.9867173727, 40.6986125226), (-73.9867616291, 40.6986420086), (-73.9867951567, 40.6986795651), (-73.9868152733, 40.6987265266), (-73.9868273432, 40.6987654175), (-73.9868420954, 40.6988257239), (-73.9868514831, 40.6989142451), (-73.9868729408, 40.6990872837))",Manhattan Brg S,Jay St,2024-03-17 11:00:30+00:00,2024-03-17 11:26:00+00:00,6,(),166.8093503838,148.0
dfb75a1e01074ecfc058820af7002293,LineString,"((-73.9583945866, 40.6807972939), (-73.958630621, 40.6808576165), (-73.9614214594, 40.6814343333))",Classon Ave,Grand Ave,2024-03-17 11:00:00+00:00,2024-03-17 11:26:00+00:00,6,(),264.9204736116,228.0
ab8db8ef415241885821db18db72a90b,LineString,"((-73.9826551671, 40.7600324268), (-73.9836945231, 40.7604722756), (-73.9844844337, 40.7607847646))",6th Ave (W 49th St),8th Ave (W 49th St),2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),175.3323451184,
84602a7f14b7158fba203e8fe2d7a82e,LineString,"((-73.9767797883, 40.7659171954), (-73.9790878291, 40.7668934958), (-73.9791870709, 40.7669350767), (-73.9792165752, 40.7670169051), (-73.9793909187, 40.7670893382), (-73.9794016476, 40.7670933376))",6th Ave/Avenue of the Americas (Central Park/W 59th St),Columbus Cir/8th Ave/Broadway (W 59th St),2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),259.3734365815,
3b542dba75d6b114693e72e180e2bd5a,LineString,"((-73.9822340603, 40.7614821773), (-73.9828040297, 40.761723556), (-73.9836368556, 40.7620534345))",6th Ave/Avenue of the Americas (W 51st St),Broadway (W 51st St),2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),134.1528912537,
91dd6da13d9c89fcbcec39a84e13ba50,LineString,"((-73.9775670166, 40.7148532603), (-73.9775160546, 40.7148224473), (-73.977469116, 40.7147996393), (-73.9774087663, 40.7147768313), (-73.9772236939, 40.714720542), (-73.9768468435, 40.7146051677))",Pitt St (Delancey St),FDR Dr (Delancey St),2024-03-17 11:00:00+00:00,2024-03-17 20:00:00+00:00,8,(),66.9391829391,
e8c8ec5d3b5153071ae2ace01898a599,LineString,"((-73.9781316216, 40.7630405207), (-73.9785929616, 40.763236311), (-73.979252785, 40.7635165998), (-73.9795438047, 40.7636400154), (-73.9799287016, 40.7637995539), (-73.9802049692, 40.7639135732), (-73.9807199533, 40.7641268192), (-73.9809801276, 40.7642354417), (-73.9822166259, 40.764745032))",Avenue of the Americas,Broadway,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),392.7972495698,
f70e0820509ce19aa847eac463ce4575,LineString,"((-73.9780887063, 40.7156914951), (-73.9781611259, 40.7155613832), (-73.9781825836, 40.7155265046), (-73.978201359, 40.7154902917), (-73.9782281811, 40.7154434056), (-73.9782456155, 40.7154125294), (-73.9782576854, 40.7153870533), (-73.9782710965, 40.715356177), (-73.9782979186, 40.7153025565), (-73.9783582683, 40.7151791782))",Delancey St,Delancey St,2024-03-17 11:00:00+00:00,2024-03-17 20:00:00+00:00,8,(),61.3578391282,
4ead14443e0644547b53c8a3fafb95a0,LineString,"((-73.9790771003, 40.7617986612), (-73.9806877668, 40.762471875), (-73.9809412355, 40.7625778338), (-73.9818947609, 40.762976146), (-73.9828576739, 40.7633663931))",Avenue of the Americas,Broadway,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),363.0080922313,
9b73f5dd8cb76ac6534d303f89e0e79a,LineString,"((-73.9824955757, 40.7640369246), (-73.9814468319, 40.7636078284), (-73.9811893399, 40.7634978081), (-73.9805120821, 40.7632081233))",W 56 St exit [7],Avenue of the Americas,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),190.7932761726,
7ffba3b486d70c2874bdd235f22360bc,LineString,"((-73.9787217076, 40.7677477707), (-73.978662699, 40.7676726721), (-73.9786345358, 40.7676364877), (-73.9786090548, 40.767592241), (-73.9786010082, 40.7675425984), (-73.9786023493, 40.767501018), (-73.9786224659, 40.7674567712), (-73.9787378008, 40.7673119059), (-73.9788021739, 40.7672368068), (-73.978957742, 40.7670544231), (-73.9790878291, 40.7668934958))",65th Street Transverse Rd,Central Park S / 7th Ave,2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),109.0369804375,
4b1d7671f5c8c178024c4c52143427bf,LineString,"((-73.9808782036, 40.7534824744), (-73.9808299239, 40.7535481917), (-73.9807843263, 40.7536098453), (-73.9803887005, 40.7541489784))",34th St (5th Ave),57th St (5th Ave),2024-03-17 11:00:00+00:00,2024-03-17 16:30:00+00:00,8,(),84.8095630629,
6f9535f3d7437343da9daa81e33ae8e5,LineString,"((-73.9876279826, 40.7456464075), (-73.9886150355, 40.7460648243))",5th Ave / E 29th St,Broadway,2024-03-17 11:00:00+00:00,2024-03-17 19:00:00+00:00,8,(),95.2832456481,
