category,coordinates,startTime,endTime,from,to,type
Road Closed,"(-118.1759338775, 34.1276161796)",2024-01-14 05:34:00+00:00,,Brentnal Rd,Avenue 64,Feature
Road Closed,"(-118.1696642139, 34.1512947136)",2024-03-10 22:06:30+00:00,,Paso Alto Dr,N San Rafael Ave,Feature
Road Closed,"(-118.1701899269, 34.1511244221)",2024-03-10 21:58:30+00:00,,N San Rafael Ave,Paso Alto Dr,Feature
Road Works,"(-118.1695917943, 34.0186085233)",2024-03-11 05:33:00+00:00,,S Ford Blvd (E Olympic Blvd),S Atlantic Blvd (E Olympic Blvd),Feature
Road Closed,"(-118.1543327072, 33.9230521095)",2024-03-02 16:37:30+00:00,,Samoline Ave,Borson St,Feature
Road Closed,"(-118.1541717747, 33.9221549534)",2024-03-02 16:33:30+00:00,,Borson St,Dalen St,Feature
Jam,"(-118.1496991911, 34.0170675782)",2024-03-11 05:45:00+00:00,2024-03-11 06:08:30+00:00,Goodrich Blvd,S Gerhart Ave,Feature
Jam,"(-118.1405541995, 33.760325195)",2024-03-11 05:32:30+00:00,2024-03-11 06:08:30+00:00,E Division St,E 1st St,Feature
Jam,"(-118.1377807954, 33.9357443363)",2024-03-11 05:22:30+00:00,2024-03-11 06:09:30+00:00,Manatee St,De Palma St,Feature
Road Closed,"(-118.1316090324, 33.7697022062)",2022-11-29 19:13:30+00:00,,E Eliot St,Panama Ave,Feature
Road Closed,"(-118.129601399, 33.7698846203)",2022-11-29 19:17:30+00:00,,Panama Ave,E Eliot St,Feature
Road Closed,"(-118.1316090324, 33.7697022062)",2022-11-30 00:02:30+00:00,,E Colorado St,Boathouse Ln,Feature
Road Closed,"(-118.1281167963, 33.7683986797)",2022-11-30 00:02:30+00:00,,Boathouse Ln,E Colorado St,Feature
Road Works,"(-118.1204215386, 34.1518794596)",2024-01-06 06:52:00+00:00,,Corson St,I-210 E,Feature
Road Closed,"(-118.1132734516, 34.0054469233)",2024-02-22 16:52:00+00:00,,W Olympic Blvd (S Greenwood Ave),Washington Blvd (S Greenwood Ave),Feature
Road Closed,"(-118.1197697618, 34.3292847288)",2024-03-04 21:51:30+00:00,,Angeles Forest Hwy,Angeles Crest Hwy,Feature
Road Closed,"(-118.0433656969, 34.2729530369)",2024-03-04 21:51:30+00:00,,Angeles Crest Hwy,Angeles Forest Hwy,Feature
Jam,"(-118.5994506577, 34.2273447412)",2024-03-11 05:47:00+00:00,2024-03-11 06:10:00+00:00,Parthenia St,Canoga Ave / Chase St,Feature
Jam,"(-118.4996174971, 34.0154287823)",2024-03-11 05:40:00+00:00,2024-03-11 06:10:00+00:00,Ocean Ave,2nd St,Feature
Jam,"(-118.467418919, 34.0003949596)",2024-03-11 05:43:30+00:00,2024-03-11 06:10:00+00:00,Lincoln Blvd,6th Ave,Feature
Jam,"(-118.449941645, 34.0644756435)",2024-03-11 05:21:00+00:00,2024-03-11 06:10:00+00:00,Levering Ave,Landfair Ave,Feature
Jam,"(-118.4458298186, 34.1896865117)",2024-03-11 05:32:30+00:00,2024-03-11 06:10:00+00:00,Sylmar Ave,Tyrone Ave,Feature
Jam,"(-118.4058139423, 33.944845113)",2024-03-11 05:19:00+00:00,2024-03-11 06:10:00+00:00,World Way N (West Way),World Way S (West Way),Feature
Jam,"(-118.4082426826, 33.9440766174)",2024-03-11 05:49:00+00:00,2024-03-11 06:11:00+00:00,West Way,West Way,Feature
Jam,"(-118.4024625221, 33.9451642745)",2024-03-11 03:11:00+00:00,2024-03-11 06:22:00+00:00,East Way (World Way (Upper Level)),Center Way (World Way (Upper Level)),Feature
Jam,"(-118.4079758028, 33.9434798673)",2024-03-11 05:31:00+00:00,2024-03-11 06:13:00+00:00,Center Way (World Way (Upper Level)),CA-1/S Sepulveda Blvd (World Way (Upper Level)),Feature
Jam,"(-118.4027401308, 34.1195668408)",2024-03-11 05:46:30+00:00,2024-03-11 06:10:00+00:00,N Beverly Dr (Coldwater Canyon Dr),Mulholland Dr (Coldwater Canyon Dr),Feature
Jam,"(-118.4013735453, 33.9454392113)",2024-03-11 04:55:00+00:00,2024-03-11 06:18:00+00:00,World Way,World Way,Feature
Jam,"(-118.4052989582, 34.0705575624)",2024-03-11 05:15:30+00:00,2024-03-11 06:11:00+00:00,Wilshire Blvd (Santa Monica Blvd/CA-2),N Doheny Dr/Melrose Ave (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.4003972212, 34.0739008938)",2024-03-11 05:49:00+00:00,2024-03-11 06:10:00+00:00,N Doheny Dr/Melrose Ave (Santa Monica Blvd/CA-2),N Beverly Dr (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.3996488849, 33.9480583675)",2024-03-11 05:18:30+00:00,2024-03-11 06:11:00+00:00,CA-1/W 96th St/S Sepulveda Blvd (Sky Way),World Way (Sky Way),Feature
Jam,"(-118.401871095, 34.0716263819)",2024-03-11 05:41:30+00:00,2024-03-11 06:10:00+00:00,Santa Monica Blvd,Dayton Way,Feature
Jam,"(-118.3993015388, 34.0720448384)",2024-03-11 04:59:30+00:00,2024-03-11 06:10:00+00:00,N Rexford Dr (S Santa Monica Blvd),N Beverly Dr (S Santa Monica Blvd),Feature
Jam,"(-118.3986604908, 34.0700666813)",2024-03-11 05:15:00+00:00,2024-03-11 06:10:00+00:00,Dayton Way,Carmelita Ave,Feature
Jam,"(-118.3982876638, 34.067992035)",2024-03-11 05:44:00+00:00,2024-03-11 06:16:00+00:00,Clifton Way,Carmelita Ave,Feature
Jam,"(-118.3977471987, 33.9454807924)",2024-03-11 05:44:30+00:00,2024-03-11 06:11:00+00:00,S Sepulveda Blvd,World Way,Feature
Jam,"(-118.3973435262, 33.9451575297)",2024-03-11 03:11:00+00:00,2024-03-11 06:22:00+00:00,CA-1/S Sepulveda Blvd (World Way (Upper Level)),East Way (World Way (Upper Level)),Feature
Jam,"(-118.3979108134, 33.943432931)",2024-03-11 05:49:00+00:00,2024-03-11 06:10:00+00:00,World Way,S Sepulveda Blvd,Feature
Jam,"(-118.3961459199, 33.9537057444)",2024-03-11 05:46:00+00:00,2024-03-11 06:10:00+00:00,Los Angeles,Westchester Pkwy,Feature
Jam,"(-118.3956497112, 33.9451427885)",2024-03-11 03:19:00+00:00,2024-03-11 06:10:00+00:00,W Century Blvd,World Way / W Century Blvd,Feature
Jam,"(-118.3961378733, 33.9412576283)",2024-03-11 03:17:30+00:00,2024-03-11 06:18:00+00:00,S Sepulveda Blvd,World Way,Feature
Jam,"(-118.3943850497, 33.9449805656)",2024-03-11 04:03:00+00:00,2024-03-11 06:10:00+00:00,Airport Blvd (Century Blvd),S Sepulveda Blvd (Century Blvd),Feature
Jam,"(-118.395543764, 33.9435965475)",2024-03-11 05:43:00+00:00,2024-03-11 06:11:00+00:00,S Sepulveda Blvd,S Sepulveda Blvd,Feature
Jam,"(-118.3960198561, 33.9445084972)",2024-03-11 05:39:30+00:00,2024-03-11 06:10:00+00:00,S Sepulveda Blvd,World Way,Feature
Jam,"(-118.3837688664, 34.0843199605)",2024-03-11 05:38:00+00:00,2024-03-11 06:10:00+00:00,CA-2/Santa Monica Blvd (N San Vicente Blvd),Melrose Ave (N San Vicente Blvd),Feature
Jam,"(-118.3648834327, 34.0531566951)",2024-03-11 05:35:30+00:00,2024-03-11 06:10:00+00:00,Packard St,W Pico Blvd,Feature
Jam,"(-118.3433506587, 34.1041254118)",2024-03-11 02:14:00+00:00,2024-03-11 06:12:00+00:00,N Sycamore Ave,N Highland Ave,Feature
Jam,"(-118.3373425105, 34.1077316274)",2024-03-10 21:21:30+00:00,2024-03-11 06:12:00+00:00,Odin St (Highland Ave),Franklin Ave (Highland Ave),Feature
Jam,"(-118.3373451928, 33.9075463034)",2024-03-11 05:32:30+00:00,2024-03-11 06:10:00+00:00,W 135th St,W 139th St,Feature
Jam,"(-118.3310299316, 34.1001155104)",2024-03-11 05:42:00+00:00,2024-03-11 06:10:00+00:00,Hollywood Blvd,W Sunset Blvd,Feature
Jam,"(-118.302854667, 34.0671846589)",2024-03-11 05:49:00+00:00,2024-03-11 06:10:00+00:00,W 4th St,W 3rd St,Feature
Jam,"(-118.3024644056, 34.090806879)",2024-03-11 05:45:30+00:00,2024-03-11 06:10:00+00:00,Santa Monica Blvd,Fountain Ave,Feature
Jam,"(-118.2856576839, 33.9891578769)",2024-03-11 05:42:00+00:00,2024-03-11 06:10:00+00:00,I-110/Harbor Fwy (Slauson Ave),S Vermont Ave (Slauson Ave),Feature
Jam,"(-118.2735515335, 34.0413831799)",2024-03-11 05:44:30+00:00,2024-03-11 06:10:00+00:00,Olympic Blvd/9th St (CA-110),I-110/I-10/Santa Monica Fwy (CA-110),Feature
Jam,"(-118.2664624551, 34.0480310374)",2024-03-11 05:44:30+00:00,2024-03-11 06:10:00+00:00,5th St/6th St (CA-110),I-110/I-10/Santa Monica Fwy (CA-110),Feature
Jam,"(-118.2372344235, 33.9803856653)",2024-03-11 05:23:30+00:00,2024-03-11 06:10:00+00:00,E 65th St,S Alameda St / E 67th St,Feature
Jam,"(-118.1975216368, 33.7953038965)",2024-03-11 05:43:00+00:00,2024-03-11 06:10:00+00:00,Eucalyptus Ave,Daisy Ave,Feature
Jam,"(-118.1496991911, 34.0170675782)",2024-03-11 05:45:00+00:00,2024-03-11 06:10:00+00:00,Goodrich Blvd,S Gerhart Ave,Feature
Jam,"(-118.1405541995, 33.760325195)",2024-03-11 05:32:30+00:00,2024-03-11 06:10:00+00:00,E Division St,E 1st St,Feature
Jam,"(-118.1377807954, 33.9357443363)",2024-03-11 05:22:30+00:00,2024-03-11 06:10:00+00:00,Manatee St,De Palma St,Feature
Jam,"(-118.6028597454, 34.1937594141)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,CA-27/Topanga Canyon Blvd (Vanowen St),Canoga Ave (Vanowen St),Feature
Jam,"(-118.5789907674, 34.0401573552)",2024-03-12 01:12:30+00:00,2024-03-12 01:41:00+00:00,Pacific Coast Hwy,Topanga Canyon Blvd,Feature
Road Closed,"(-118.5789679686, 34.0408226046)",2024-03-09 15:30:00+00:00,,CA-1/Pacific Coast Hwy (CA-27),Fernwood Pacific Dr (CA-27),Feature
Road Closed,"(-118.5980626146, 34.081872451)",2024-03-09 15:30:00+00:00,,Fernwood Pacific Dr (CA-27),CA-1/Pacific Coast Hwy (CA-27),Feature
Jam,"(-118.5693991879, 34.0420094556)",2024-03-11 21:30:30+00:00,2024-03-12 02:03:00+00:00,Sunset Blvd (Pacific Coast Hwy/CA-1),Las Flores Canyon Rd (Pacific Coast Hwy/CA-1),Feature
Road Closed,"(-118.5673526625, 34.175784609)",2024-03-10 03:21:30+00:00,,Hatteras St,Martha St,Feature
Jam,"(-118.6010291378, 34.1699092188)",2024-03-11 22:20:00+00:00,2024-03-12 01:42:00+00:00,CA-27/Topanga Canyon Blvd (US-101),Tampa Ave (US-101),Feature
Road Closed,"(-118.5557400385, 34.2245994818)",2024-03-09 10:57:00+00:00,,Chase St,Bryant St,Feature
Road Closed,"(-118.531684647, 34.2384115005)",2024-02-24 04:51:00+00:00,,Prairie St,Prairie St / Matador Walk,Feature
Road Closed,"(-118.5316766003, 34.2390566205)",2024-02-24 04:51:00+00:00,,Prairie St,Prairie St / Matador Walk,Feature
Jam,"(-118.5023667613, 34.2540997481)",2024-03-11 20:40:00+00:00,2024-03-12 01:41:00+00:00,Lassen St (Balboa Blvd),Devonshire St (Balboa Blvd),Feature
Jam,"(-118.5011034409, 34.1709325387)",2024-03-12 00:55:30+00:00,2024-03-12 01:41:00+00:00,Balboa Blvd exit [21],US-101 N,Feature
Jam,"(-118.4983273546, 34.3223445149)",2024-03-11 22:43:00+00:00,2024-03-12 02:32:00+00:00,I-210 (I-5),Calgrove Blvd (I-5),Feature
Jam,"(-118.505506287, 34.3422746714)",2024-03-11 21:51:30+00:00,2024-03-12 02:29:00+00:00,I-5 Trk/Golden Hwy (CA-14),Placerita Canyon Rd (CA-14),Feature
Jam,"(-118.4961909751, 34.3210021059)",2024-03-12 01:16:00+00:00,2024-03-12 02:22:00+00:00,exit [159B],exit [162],Feature
Jam,"(-118.4969942967, 34.1379641141)",2024-03-12 00:40:00+00:00,2024-03-12 01:42:00+00:00,Calneva Dr/Encino Hills Dr (Hayvenhurst Ave),Ventura Blvd (Hayvenhurst Ave),Feature
Jam,"(-118.4866248766, 34.0264083471)",2024-03-12 01:21:00+00:00,2024-03-12 01:41:00+00:00,Wilshire Blvd,Santa Monica Blvd,Feature
Jam,"(-118.4847231904, 34.2011113558)",2024-03-12 01:17:30+00:00,2024-03-12 01:41:00+00:00,Valjean Ave,Woodley Ave,Feature
Jam,"(-118.4832627276, 34.3071458366)",2024-03-12 01:20:00+00:00,2024-03-12 01:37:00+00:00,exit [159B],exit [162],Feature
Jam,"(-118.4854594568, 34.0143438303)",2024-03-12 01:17:30+00:00,2024-03-12 01:42:00+00:00,I-10/Olympic Blvd (CA-1),Pico Blvd (CA-1),Feature
Jam,"(-118.4824433128, 34.0171560895)",2024-03-12 01:06:30+00:00,2024-03-12 01:41:00+00:00,Lincoln Blvd exit [1B],Olympic Blvd,Feature
Jam,"(-118.4799810449, 34.0191798053)",2024-03-12 01:21:00+00:00,2024-03-12 01:42:00+00:00,20th St/Exit 1B (I-10),CA-1/Lincoln Blvd/Exit 1B (I-10),Feature
Jam,"(-118.4799354473, 34.1219728064)",2024-03-12 01:19:30+00:00,2024-03-12 01:41:00+00:00,I-405/San Diego Fwy (3) (Sepulveda Blvd/CA-1),I-405/San Diego Fwy (4) (Sepulveda Blvd/CA-1),Feature
Jam,"(-118.4804262916, 34.0102346296)",2024-03-12 01:13:30+00:00,2024-03-12 01:41:00+00:00,Pico Blvd (CA-1),Ocean Park Blvd (CA-1),Feature
Jam,"(-118.476120005, 34.094559288)",2024-03-11 20:48:30+00:00,2024-03-12 02:35:00+00:00,Getty Ctr Dr exit [59],Skirball Ctr Dr exit [61],Feature
Jam,"(-118.4744235078, 34.0855872838)",2024-03-12 00:35:00+00:00,2024-03-12 02:00:00+00:00,W Sunset Blvd (Sepulveda Blvd/CA-1),Rimerton Rd (Sepulveda Blvd/CA-1),Feature
Jam,"(-118.4741405348, 34.023668504)",2024-03-12 01:16:00+00:00,2024-03-12 01:41:00+00:00,I-10/Santa Monica Fwy (20th St),CA-2/Santa Monica Blvd (20th St),Feature
Jam,"(-118.4731628696, 34.2247282502)",2024-03-11 22:16:30+00:00,2024-03-12 02:30:00+00:00,exit [66B],exit [70],Feature
Jam,"(-118.472783337, 34.0804106177)",2024-03-11 20:57:30+00:00,2024-03-12 02:20:00+00:00,exit [57B],Getty Ctr Dr exit [59],Feature
Jam,"(-118.477069507, 34.0468789961)",2024-03-12 01:17:30+00:00,2024-03-12 01:44:00+00:00,26th St (Montana Ave),San Vicente Blvd (Montana Ave),Feature
Jam,"(-118.4721731344, 34.0614312914)",2024-03-11 23:38:30+00:00,2024-03-12 02:03:00+00:00,Foxboro Dr,W Sunset Blvd,Feature
Jam,"(-118.481855909, 34.1146530404)",2024-03-11 20:26:00+00:00,2024-03-12 02:24:00+00:00,Getty Ctr Dr exit [59],Ventura Blvd exit [63A],Feature
Jam,"(-118.4710171024, 34.0607607874)",2024-03-11 22:23:30+00:00,2024-03-12 02:13:00+00:00,S Westgate Ave,W Sunset Blvd,Feature
Jam,"(-118.4723515013, 34.0683232319)",2024-03-11 22:09:00+00:00,2024-03-12 02:22:00+00:00,Crescenda St,W Sunset Blvd / S Barrington Ave,Feature
Jam,"(-118.4760408798, 34.0514454685)",2024-03-11 21:15:00+00:00,2024-03-12 01:42:00+00:00,26th St (San Vicente Blvd),Montana Ave (San Vicente Blvd),Feature
Jam,"(-118.4698825279, 34.1645783374)",2024-03-11 23:12:32+00:00,2024-03-12 01:41:00+00:00,I-405 S,US-101 N,Feature
Jam,"(-118.4707448581, 34.0525035566)",2024-03-12 01:20:30+00:00,2024-03-12 01:41:00+00:00,Los Angeles,Montana Ave,Feature
Jam,"(-118.4695740739, 34.0777377793)",2024-03-12 01:21:00+00:00,2024-03-12 01:41:00+00:00,N Sepulveda Blvd / Moraga Dr,I-405 N,Feature
Jam,"(-118.4687264959, 34.0645064732)",2024-03-12 00:46:00+00:00,2024-03-12 01:42:00+00:00,S Barrington Ave,W Sunset Blvd,Feature
Jam,"(-118.4686500529, 34.0639123741)",2024-03-12 01:21:00+00:00,2024-03-12 01:41:00+00:00,S Barrington Ave,S Barrington Pl,Feature
Jam,"(-118.468446205, 34.1774945007)",2024-03-11 22:07:30+00:00,2024-03-12 03:28:00+00:00,Burbank Blvd (I-405),Devonshire St (I-405),Feature
Jam,"(-118.4686996738, 34.0737976534)",2024-03-12 01:07:30+00:00,2024-03-12 01:41:00+00:00,W Sunset Blvd (N Church Ln),N Sepulveda Blvd (N Church Ln),Feature
Jam,"(-118.4682597915, 34.058176492)",2024-03-12 01:08:00+00:00,2024-03-12 01:55:00+00:00,San Vicente Blvd (S Barrington Ave),W Sunset Blvd (Barrington Ave),Feature
Jam,"(-118.4681860307, 34.172123391)",2024-03-12 00:02:30+00:00,2024-03-12 01:41:00+00:00,I-405 (Burbank Blvd),Woodley Ave (Burbank Blvd),Feature
Jam,"(-118.4680170516, 34.291654736)",2024-03-12 01:18:00+00:00,2024-03-12 01:39:00+00:00,exit [157B],exit [162],Feature
Jam,"(-118.467945973, 34.2915809158)",2024-03-11 22:43:00+00:00,2024-03-12 02:32:00+00:00,San Fernando Mission Blvd (I-5),I-210 (I-5),Feature
Jam,"(-118.4678333203, 34.1754359416)",2024-03-11 21:54:00+00:00,2024-03-12 02:20:00+00:00,exit [63B],Roscoe Blvd exit [68],Feature
Jam,"(-118.4690309266, 34.1489826733)",2024-03-11 21:57:00+00:00,2024-03-12 01:43:00+00:00,exit [63B],US-101 N,Feature
Jam,"(-118.4709084729, 34.2756647198)",2024-03-11 22:11:00+00:00,2024-03-12 02:36:00+00:00,S F Mission Blvd exit [71B],exit [159A],Feature
Jam,"(-118.470923225, 34.2754514594)",2024-03-11 20:26:00+00:00,2024-03-12 02:25:00+00:00,San Fernando Mission Blvd (I-405),I-5 (Mission Hills) (I-405),Feature
Jam,"(-118.4888363579, 34.0564464088)",2024-03-11 18:39:00+00:00,2024-03-12 03:13:00+00:00,Allenford Ave (W Sunset Blvd),I-405/San Diego Fwy (W Sunset Blvd),Feature
Jam,"(-118.4673625926, 34.1440393657)",2024-03-12 00:59:00+00:00,2024-03-12 01:43:00+00:00,Rayneta Dr,Sepulveda Blvd / Valley Vista Blvd,Feature
Jam,"(-118.4666826526, 34.2185068793)",2024-03-12 01:04:00+00:00,2024-03-12 01:41:00+00:00,San Fernando Valley,Sepulveda Pl,Feature
Jam,"(-118.4713631073, 34.1474015067)",2024-03-12 00:30:30+00:00,2024-03-12 01:41:00+00:00,Rimerton Rd (Sepulveda Blvd/CA-1),Ventura Blvd (Sepulveda Blvd/CA-1),Feature
Jam,"(-118.4659919838, 34.0534477412)",2024-03-12 00:49:00+00:00,2024-03-12 01:41:00+00:00,Los Angeles,S Barrington Ave,Feature
Jam,"(-118.4669803778, 34.072567854)",2024-03-11 22:40:02+00:00,2024-03-12 01:42:00+00:00,W Sunset Blvd,I-405 N,Feature
Jam,"(-118.4649258057, 34.2885554113)",2024-03-12 01:18:00+00:00,2024-03-12 01:40:00+00:00,I-5 N,I-405 N,Feature
Jam,"(-118.4643035332, 34.0524995982)",2024-03-12 01:08:00+00:00,2024-03-12 01:55:00+00:00,Wilshire Blvd (S Barrington Ave),W Sunset Blvd (Barrington Ave),Feature
Jam,"(-118.4704001943, 33.9917528924)",2024-03-12 00:50:30+00:00,2024-03-12 01:56:00+00:00,Main St (Abbot Kinney Blvd),Venice Blvd (Abbot Kinney Blvd),Feature
Jam,"(-118.4618265132, 34.0536515631)",2024-03-12 01:19:30+00:00,2024-03-12 01:41:00+00:00,Montana Ave (San Vicente Blvd),Wilshire Blvd (San Vicente Blvd),Feature
Jam,"(-118.4597746233, 34.0311250603)",2024-03-12 01:12:30+00:00,2024-03-12 01:41:00+00:00,Santa Monica,S Centinela Ave / W Olympic Blvd,Feature
Jam,"(-118.458744655, 34.2463790436)",2024-03-12 00:16:00+00:00,2024-03-12 01:41:00+00:00,Lemona Ave,Noble Ave,Feature
Road Closed,"(-118.4582980672, 33.9907189265)",2024-03-11 07:45:09+00:00,2024-03-14 06:59:00+00:00,Victoria Ave,Venice Blvd,Feature
Jam,"(-118.4559699098, 34.0611805474)",2024-03-12 00:35:00+00:00,2024-03-12 02:00:00+00:00,Wilshire Blvd (Sepulveda Blvd/CA-1),I-405/San Diego Fwy (3) (Sepulveda Blvd/CA-1),Feature
Jam,"(-118.4541285733, 34.0584071069)",2024-03-11 21:04:30+00:00,2024-03-12 02:55:00+00:00,exit [55B-C],Getty Ctr Dr exit [59],Feature
Jam,"(-118.4532166222, 34.151682325)",2024-03-12 01:13:00+00:00,2024-03-12 01:41:00+00:00,Van Nuys Blvd (Ventura Blvd),Sepulveda Blvd (Ventura Blvd),Feature
Jam,"(-118.4619820813, 33.998494628)",2024-03-12 01:03:00+00:00,2024-03-12 01:48:00+00:00,Rose Ave (CA-1),Venice Blvd (CA-1),Feature
Jam,"(-118.4520565668, 34.056560434)",2024-03-12 01:20:00+00:00,2024-03-12 01:41:00+00:00,Wilshire Blvd,I-405 N,Feature
Jam,"(-118.4664010206, 34.0449786633)",2024-03-11 22:19:00+00:00,2024-03-12 01:41:00+00:00,S Bundy Dr (Wilshire Blvd),I-405/San Diego Fwy (Wilshire Blvd),Feature
Jam,"(-118.4563816289, 34.2354570514)",2024-03-12 00:55:00+00:00,2024-03-12 01:41:00+00:00,Sepulveda Blvd (Nordhoff St),Van Nuys Blvd (Nordhoff St),Feature
Jam,"(-118.4562274018, 34.0345126656)",2024-03-12 01:21:00+00:00,2024-03-12 01:41:00+00:00,CA-2/Santa Monica Blvd (S Bundy Dr),I-10/Santa Monica Fwy (S Bundy Dr),Feature
Jam,"(-118.4512425164, 34.0561567619)",2024-03-11 22:04:00+00:00,2024-03-12 02:04:00+00:00,Wilshire Blvd,I-405 N,Feature
Jam,"(-118.4496600131, 34.0287324899)",2024-03-12 01:03:00+00:00,2024-03-12 01:46:00+00:00,Ocean Park Blvd (S Bundy Dr),CA-2/Santa Monica Blvd (S Bundy Dr),Feature
Jam,"(-118.4487681786, 34.2158742413)",2024-03-11 22:16:00+00:00,2024-03-12 01:45:00+00:00,Sherman Way (Van Nuys Blvd),Parthenia St (Van Nuys Blvd),Feature
Jam,"(-118.4510400096, 34.2892313099)",2024-03-12 01:21:00+00:00,2024-03-12 01:42:00+00:00,Laurel Canyon Blvd (Hubbard St),Glenoaks Blvd (Hubbard St),Feature
Jam,"(-118.4536833266, 33.9872789779)",2024-03-12 01:05:00+00:00,2024-03-12 01:47:00+00:00,Via Marina/Ocean Ave (Washington Blvd),CA-1/Lincoln Blvd (Washington Blvd),Feature
Jam,"(-118.4475491146, 34.2885044416)",2024-03-12 01:10:30+00:00,2024-03-12 01:41:00+00:00,S Workman St (San Fernando Rd),Truman St (San Fernando Rd),Feature
Jam,"(-118.4471213022, 34.0477091369)",2024-03-11 21:15:00+00:00,2024-03-12 02:43:00+00:00,Santa Monica Blvd (CA-2) exit [55A],exit [57A],Feature
Jam,"(-118.456165711, 34.0447117576)",2024-03-11 23:09:30+00:00,2024-03-12 01:51:00+00:00,S Barrington Ave,S Sepulveda Blvd,Feature
Jam,"(-118.4496546487, 34.0287258212)",2024-03-12 01:19:30+00:00,2024-03-12 01:45:00+00:00,W Olympic Blvd (S Bundy Dr),Ocean Park Blvd (S Bundy Dr),Feature
Jam,"(-118.4581478635, 34.0428516596)",2024-03-11 21:39:00+00:00,2024-03-12 01:48:00+00:00,S Bundy Dr (Santa Monica Blvd/CA-2),I-405/San Diego Fwy (Santa Monica Blvd/CA-2),Feature
Jam,"(-118.4458311597, 34.0434953573)",2024-03-12 01:11:30+00:00,2024-03-12 01:41:00+00:00,W Pico Blvd (Sawtelle Blvd),CA-2/Santa Monica Blvd (Sawtelle Blvd),Feature
Jam,"(-118.4519908527, 33.9936773503)",2024-03-12 01:03:00+00:00,2024-03-12 01:48:00+00:00,Venice Blvd (CA-1),CA-90/Marina Expy (CA-1),Feature
Jam,"(-118.444821308, 34.1939364833)",2024-03-11 23:33:30+00:00,2024-03-12 01:43:00+00:00,Woodman Ave (Vanowen St),Van Nuys Blvd (Vanowen St),Feature
Jam,"(-118.4433796207, 34.2452860351)",2024-03-12 01:14:00+00:00,2024-03-12 01:41:00+00:00,Varna Ave,Woodman Ave,Feature
Jam,"(-118.4483805994, 34.0348586496)",2024-03-12 01:01:30+00:00,2024-03-12 01:46:00+00:00,CA-2/Santa Monica Blvd (S Barrington Ave),Gateway Blvd (S Barrington Ave),Feature
Jam,"(-118.442113618, 34.0441833611)",2024-03-12 00:55:30+00:00,2024-03-12 01:41:00+00:00,Missouri Ave,Nebraska Ave,Feature
Jam,"(-118.4451887706, 34.1265057418)",2024-03-12 01:10:00+00:00,2024-03-12 01:42:00+00:00,W Sunset Blvd (Beverly Glen Blvd),Mulholland Dr (Beverly Glen Blvd),Feature
Jam,"(-118.4413116375, 34.0487149763)",2024-03-12 01:09:30+00:00,2024-03-12 01:41:00+00:00,Santa Monica Blvd,Massachusetts Ave,Feature
Jam,"(-118.441240559, 34.0440868215)",2024-03-12 00:52:05+00:00,2024-03-12 01:44:00+00:00,W Pico Blvd (Sepulveda Blvd/CA-1),CA-2/Santa Monica Blvd (Sepulveda Blvd/CA-1),Feature
Jam,"(-118.4396419624, 33.9812077685)",2024-03-12 01:08:00+00:00,2024-03-12 01:49:00+00:00,Culver Blvd (CA-1),Washington Blvd (CA-1),Feature
Jam,"(-118.439509193, 34.1685801883)",2024-03-12 01:09:30+00:00,2024-03-12 01:41:00+00:00,San Fernando Valley,Hazeltine Ave,Feature
Jam,"(-118.4388520518, 34.0402525797)",2024-03-12 01:18:30+00:00,2024-03-12 01:41:00+00:00,W Olympic Blvd,S Sepulveda Blvd,Feature
Jam,"(-118.4395682016, 33.9976027841)",2024-03-12 01:17:30+00:00,2024-03-12 01:41:00+00:00,Matteson Ave,Washington Blvd,Feature
Jam,"(-118.4460443953, 34.0353320917)",2024-03-11 22:43:00+00:00,2024-03-12 01:41:00+00:00,S Barrington Ave (W Olympic Blvd),S Sepulveda Blvd (W Olympic Blvd),Feature
Jam,"(-118.4376289645, 33.9855006748)",2024-03-12 01:14:00+00:00,2024-03-12 01:41:00+00:00,Glencoe Ave / Redwood Ave,Mindanao Way,Feature
Jam,"(-118.4361765483, 34.0322341097)",2024-03-12 01:12:00+00:00,2024-03-12 01:42:00+00:00,National Blvd (Sawtelle Blvd),W Pico Blvd (Sawtelle Blvd),Feature
Road Closed,"(-118.4374371866, 34.1310561266)",2024-02-24 21:19:30+00:00,,Mulholland Dr,Wallingford Dr,Feature
Jam,"(-118.4421297113, 34.0299556316)",2024-03-11 21:20:00+00:00,2024-03-12 03:30:00+00:00,exit [3A],I-405 N,Feature
Jam,"(-118.4366298417, 34.0817383274)",2024-03-12 01:11:00+00:00,2024-03-12 01:41:00+00:00,St Cloud Rd,W Sunset Blvd / S Beverly Glen Blvd,Feature
Jam,"(-118.4431851605, 34.0329140778)",2024-03-12 01:06:00+00:00,2024-03-12 01:42:00+00:00,S Barrington Ave (W Pico Blvd),Westwood Blvd (W Pico Blvd),Feature
Jam,"(-118.440046976, 34.0778088709)",2024-03-12 00:29:30+00:00,2024-03-12 01:43:00+00:00,Bellagio Way (W Sunset Blvd),N Whittier Dr (Sunset Blvd),Feature
