category,coordinates,startTime,endTime,from,to,type
Road Closed,"(-118.2739310661, 33.9869611559)",2024-03-16 03:51:00+00:00,,Gage Ave (S Main St),54th St (S Main St),Feature
Road Closed,"(-118.2739364305, 33.9906116235)",2024-03-16 03:47:00+00:00,,54th St (S Main St),Gage Ave (S Main St),Feature
Road Closed,"(-118.2782896558, 33.9891793518)",2024-03-16 03:40:00+00:00,,I-110/Harbor Fwy (Slauson Ave),Avalon Blvd (Slauson Ave),Feature
Road Closed,"(-118.2700968483, 33.9892316143)",2024-03-16 03:21:00+00:00,,Avalon Blvd (Slauson Ave),I-110/Harbor Fwy (Slauson Ave),Feature
Road Closed,"(-118.2680583695, 34.0441833611)",2024-03-15 06:35:30+00:00,,CA-110/LA Live Way (Chick Hearn Ct),S Figueroa St (Chick Hearn Ct),Feature
Road Closed,"(-118.2675863007, 34.0439902817)",2024-03-15 01:03:32+00:00,,S Figueroa St (Chick Hearn Ct),CA-110/LA Live Way (Chick Hearn Ct),Feature
Jam,"(-118.2692157427, 34.0387880835)",2024-03-16 06:40:00+00:00,2024-03-16 07:09:00+00:00,W Washington Blvd (Figueroa St),W Olympic Blvd (S Figueroa St),Feature
Road Works,"(-118.2651696304, 34.0714909229)",2024-03-14 16:04:00+00:00,,US-101 N,US-101 N,Feature
Jam,"(-118.263972024, 34.0449840111)",2024-03-16 06:28:30+00:00,2024-03-16 07:12:00+00:00,W Olympic Blvd (S Figueroa St),W Pico Blvd (Figueroa St),Feature
Accident,"(-118.260815064, 33.7494756638)",2024-03-16 05:27:00+00:00,,CA-47 N,N Seaside Ave / Ferry St,Feature
Jam,"(-118.2592325607, 34.0982795333)",2024-03-16 06:24:30+00:00,2024-03-16 07:06:00+00:00,Glendale Blvd,Edgewater Ter,Feature
Road Closed,"(-118.2592526773, 34.0284683118)",2024-03-14 09:29:57+00:00,2024-03-17 06:59:00+00:00,E Washington Blvd,I-10 E,Feature
Road Closed,"(-118.2581784526, 34.0307052904)",2024-03-16 04:29:30+00:00,,Los Angeles Street exit [14A],S Los Angeles St / E 17th St,Feature
Road Closed,"(-118.2547103563, 33.9157726241)",2024-03-15 09:52:53+00:00,2024-03-18 06:59:00+00:00,E El Segundo Blvd,S Central Ave,Feature
